request_id,timestamp,user_id,tier,sla_ms,task_type,model_id,backend,latency_ms,quality_score,success
d30b879b-7b45-4735-a56e-1a0886fb5a99,2025-12-13T18:05:45.096446,user_113,free,800,reasoning,mistral-7b,k8s,558,0.899,True
da66c149-bc48-49f3-bb03-0debfceab872,2025-12-14T13:50:08.096446,user_91,pro,300,code-gen,llama-3-70b,aws,245,0.773,True
81fdbac7-ae74-438b-8961-1170f4ad55ee,2025-12-13T12:28:53.096446,user_324,free,800,summarization,claude-3-opus,aws,481,0.964,True
5f21cfde-800b-4d27-ad21-49210206b29c,2025-12-15T10:11:08.096446,user_377,pro,300,classification,llama-3-70b,aws,180,0.933,True
7dd28fdb-9dea-4bd5-bea7-1abbd9db3b70,2025-12-13T11:22:14.096446,user_473,enterprise,150,qa,llama-3-70b,aws,65,0.751,True
2e20392c-401e-462c-840c-3fb46b0dc61e,2025-12-15T08:44:21.096446,user_216,free,800,code-gen,gpt-4,aws,602,0.873,True
d44ec090-07bb-4e43-81c8-b098023306c4,2025-12-16T14:07:02.096446,user_391,free,800,qa,claude-2.1,neocloud,543,0.82,True
682922ff-546f-43cd-bd12-fec43647ff49,2025-12-16T07:57:19.096446,user_73,free,800,reasoning,llama-2-13b,neocloud,556,0.824,True
579251df-9898-4a96-9e3a-c40b22a2cdce,2025-12-12T18:40:14.096446,user_44,free,800,summarization,llama-2-13b,neocloud,523,0.945,True
58bd6935-8c27-4c5b-95fb-c377875bddc9,2025-12-12T23:25:51.096446,user_160,pro,300,code-gen,mistral-7b,k8s,309,0.752,True
d0f3a301-0f53-4eb9-8004-bc93d8493d81,2025-12-15T16:28:30.096446,user_415,free,800,code-gen,claude-2.1,neocloud,457,0.795,True
911e3f4d-1919-4d4b-88d0-4d39ce34b0fd,2025-12-12T18:09:37.096446,user_357,free,800,classification,mistral-7b,k8s,601,0.954,True
6e64dbb1-6d7b-4922-8a7d-22527d235e72,2025-12-16T13:01:39.096446,user_390,pro,300,code-gen,gpt-3.5-turbo,aws,168,0.736,True
d6df4537-e148-43a8-9708-92f22e854467,2025-12-15T22:55:05.096446,user_2,free,800,reasoning,claude-3-opus,aws,547,0.906,True
235264bd-37d1-41bd-8120-6b3bb105e4eb,2025-12-15T04:50:36.096446,user_275,free,800,reasoning,claude-3-opus,aws,580,0.799,True
72c3edcd-ff7e-46f0-83b3-e468a0a7a3eb,2025-12-13T11:54:33.096446,user_127,free,800,qa,claude-2.1,neocloud,548,0.954,True
7cf7fa8d-cfca-4af7-bdaa-135e5e35c3e4,2025-12-14T22:04:46.096446,user_92,free,800,reasoning,llama-2-13b,neocloud,505,0.894,True
1a8db2ef-ab1f-498e-863e-7b75c9289903,2025-12-14T02:02:33.096446,user_199,pro,300,reasoning,llama-2-13b,neocloud,248,0.783,True
3e13ae99-40b4-4b86-a5c1-6043c83c8bcc,2025-12-12T21:04:23.096446,user_17,free,800,code-gen,falcon-180b,neocloud,588,0.958,True
8a7d32da-92d6-40da-84d8-416674e04613,2025-12-13T08:57:12.096446,user_492,enterprise,150,classification,gemma-7b,k8s,98,0.762,True
143470a0-1227-4bd8-bf5d-030ec137587c,2025-12-16T06:05:58.096446,user_84,free,800,qa,gemma-7b,k8s,577,0.938,True
a94a0766-8d63-4cd9-9dc8-17b9ad87a7c7,2025-12-17T05:42:41.096446,user_319,pro,300,classification,claude-2.1,neocloud,199,0.671,False
b55f33c1-8dcd-4839-90e7-60dc202ba015,2025-12-15T11:25:20.096446,user_381,free,800,summarization,mixtral-8x7b,k8s,447,0.919,True
412b9257-92ba-42f8-b0d8-9f6e08101b9f,2025-12-15T05:59:24.096446,user_180,free,800,reasoning,llama-3-70b,aws,679,0.892,True
983f8669-adcb-4eee-810c-f8492e934c2e,2025-12-14T15:09:40.096446,user_310,enterprise,150,reasoning,claude-3-opus,aws,71,0.771,True
fd3e0795-a689-4271-b524-896215f99c7f,2025-12-13T15:36:59.096446,user_430,free,800,qa,llama-3-70b,aws,522,0.8,True
bb5e5d37-90a9-4864-b86b-c981ce41f8c0,2025-12-14T01:56:52.096446,user_203,free,800,qa,mixtral-8x7b,k8s,520,0.756,True
d5524c4d-f92e-480f-bc21-dda26eb559a3,2025-12-13T17:50:32.096446,user_214,free,800,qa,mistral-7b,k8s,610,0.76,True
0eef4047-96f4-4f3f-8d32-67383cdac083,2025-12-16T11:10:45.096446,user_304,enterprise,150,code-gen,llama-3-70b,aws,118,0.676,True
1fa60889-8acc-496b-afb0-73830d4dc958,2025-12-13T07:09:23.096446,user_11,free,800,classification,claude-2.1,neocloud,534,0.791,True
bf91c01a-ef87-456f-b9fe-c9a1f2736edc,2025-12-16T23:36:22.096446,user_11,pro,300,classification,claude-2.1,neocloud,260,0.774,True
13515f7f-9e15-48d7-9f66-c344ce403c2f,2025-12-16T14:31:16.096446,user_115,pro,300,classification,gpt-3.5-turbo,aws,233,0.601,True
1301258f-ef7b-40c7-8618-d6738bccbedd,2025-12-13T17:18:07.096446,user_149,free,800,classification,llama-3-70b,aws,613,0.854,True
381143fb-010e-4d71-9195-6f420c874d83,2025-12-16T03:21:56.096446,user_435,free,800,qa,mistral-7b,k8s,572,0.824,True
f85ae841-75e5-429d-b77c-541584f35b3c,2025-12-14T21:41:58.096446,user_468,pro,300,qa,mixtral-8x7b,k8s,120,0.765,True
8dc0024a-2ec9-486f-9017-283c5a235d4a,2025-12-14T22:02:54.096446,user_373,free,800,reasoning,mistral-7b,k8s,490,0.914,True
404dfc3a-5e44-4e8c-a7e5-aacad529f128,2025-12-14T14:30:24.096446,user_218,free,800,reasoning,falcon-180b,neocloud,655,0.94,True
6a9c9a44-3f64-4b3c-ab9e-33502fd8bdc9,2025-12-14T22:18:38.096446,user_396,free,800,qa,claude-3-opus,aws,557,0.837,True
391bbe7f-9da7-4b63-85f6-2cf50eff8fe6,2025-12-13T17:19:15.096446,user_381,free,800,reasoning,mistral-7b,k8s,531,0.801,True
06a30d8c-f1c2-4b27-8b3a-6b3179e1a967,2025-12-15T11:59:57.096446,user_337,free,800,reasoning,falcon-180b,neocloud,535,0.962,True
1b1f83cc-4e6f-4132-b16a-59a7a07c6e63,2025-12-16T04:31:23.096446,user_391,free,800,summarization,falcon-180b,neocloud,639,0.797,True
5f5f3719-c9d2-4a2c-8ade-e464e7151a77,2025-12-17T00:05:49.096446,user_181,free,800,qa,claude-2.1,neocloud,485,0.813,True
8ae6ec61-e373-4792-89ee-330f09aac4bd,2025-12-14T23:02:22.096446,user_490,free,800,qa,gpt-4,aws,527,0.724,True
651e5d53-8c32-45a9-8475-9210c7512c3d,2025-12-16T01:56:42.096446,user_323,free,800,code-gen,gpt-4,aws,518,0.868,True
028a770c-cbe1-47a5-9ab0-4cd62198ae93,2025-12-16T18:22:32.096446,user_485,free,800,reasoning,gemma-7b,k8s,537,0.734,True
17164f69-df59-408b-a383-8be93c22bdc3,2025-12-13T06:15:00.096446,user_193,pro,300,qa,llama-2-13b,neocloud,213,0.968,True
3a57f19e-b741-4081-896a-d0fdf5380420,2025-12-12T19:27:49.096446,user_465,enterprise,150,qa,falcon-180b,neocloud,116,0.968,True
dfef0634-8c72-4f5e-a32b-322301c7c8e2,2025-12-12T11:44:38.096446,user_142,free,800,summarization,mixtral-8x7b,k8s,570,0.78,True
55f6993b-1170-4a85-b229-2dad0e06f133,2025-12-16T01:08:07.096446,user_354,free,800,summarization,claude-3-opus,aws,567,0.843,True
99548fa8-0120-452c-aad0-1881d9b2464b,2025-12-13T14:22:43.096446,user_67,free,800,qa,falcon-180b,neocloud,605,0.941,True
265b3fd4-7428-41cf-adfc-f249c0d125d8,2025-12-12T08:47:38.096446,user_443,free,800,code-gen,mixtral-8x7b,k8s,503,0.917,True
93dd91b4-ba50-4808-9868-e231374ebc07,2025-12-14T13:50:37.096446,user_344,pro,300,classification,claude-3-opus,aws,161,0.874,True
a78562b5-ec48-4216-8989-ad7226bf8f3d,2025-12-14T13:30:04.096446,user_494,pro,300,summarization,claude-2.1,neocloud,215,0.787,True
69ec89a7-5b19-451e-b2b4-402171e2d9da,2025-12-12T17:14:45.096446,user_377,pro,300,reasoning,llama-2-13b,neocloud,275,0.944,True
210568cb-e7c3-460d-99f4-0b44029a8a2e,2025-12-16T12:28:41.096446,user_431,pro,300,qa,gpt-3.5-turbo,aws,274,0.912,True
